id,ts,output_mode,voltage,weight_lbs,session
13,2026-02-13T17:27:56+00:00,0_10V,0.409,1.0,session1_old
24,2026-02-13T18:38:34+00:00,0_10V,0.380,1.0,session2_new
25,2026-02-13T18:40:32+00:00,0_10V,0.495,25.0,session2_new
14,2026-02-13T17:36:14+00:00,0_10V,0.523,26.0,session1_old
26,2026-02-13T18:42:28+00:00,0_10V,0.615,50.0,session2_new
15,2026-02-13T17:39:16+00:00,0_10V,0.636,51.0,session1_old
16,2026-02-13T17:41:43+00:00,0_10V,0.655,52.0,session1_old
19,2026-02-13T17:54:38+00:00,0_10V,0.770,75.0,interpolated_stale
17,2026-02-13T17:43:28+00:00,0_10V,0.895,100.0,session1_old
21,2026-02-13T18:31:39+00:00,0_10V,0.861,100.0,session2_new
22,2026-02-13T18:33:46+00:00,0_10V,0.988,125.0,session2_new
23,2026-02-13T18:36:05+00:00,0_10V,1.121,150.0,session2_new
18,2026-02-13T17:45:38+00:00,0_10V,1.145,151.0,session1_old
